startup_name,startup_amount_invested,startup_article_publication_date,startup_more_inf_url,startup_levée_de_fonds,startup_founders,startup_Number_of_employees,startup_web_site_url,startup_phone,startup_email
Regate rejoint Qonto qui confirme sa position de Fintech #1 en Europe,622 millions d'euros,07/03/2024,https://www.jaimelesstartups.fr/news/regate-rejoint-qonto-qui-confirme-sa-position-de-fintech-1-en-europe/,,,,,,
Agnostic lève 2M€ pour faciliter l’accès à la blockchain,2 M€,05/03/2024,https://www.jaimelesstartups.fr/news/agnostic-leve-2me-pour-faciliter-lacces-a-la-blockchain/,,,,,,
Stokn,600000,04/03/2024,https://www.jaimelesstartups.fr/stokn-api-services-cryptomonnaies/,,,,,,
FoodFlow annonce une levée de fonds de 2M€ pour sa solution de livraison des restaurants,2 000 000 €,04/03/2024,https://www.jaimelesstartups.fr/news/foodflow-annonce-une-levee-de-fonds-de-2me-pour-sa-solution-de-livraison-des-restaurants/,,,,,,
Mistral.ai,385 M€,27/02/2024,https://www.jaimelesstartups.fr/mistral-ai-ia-generative-llm/,,,,,,
La FemTech Sorella Care annonce une levée de fonds de 5M€,5 M€,26/02/2024,https://www.jaimelesstartups.fr/news/la-femtech-sorella-care-annonce-une-levee-de-fonds-de-5me/,,,,,,
la librairie en ligne Lireka lance une campagne pour lever d’un million d’euros,1M€,20/02/2024,https://www.jaimelesstartups.fr/news/la-librairie-en-ligne-lireka-lance-une-campagne-pour-lever-dun-million-deuros/,,,,,,
Xtras,390 000,20/02/2024,https://www.jaimelesstartups.fr/xtras-faciliter-les-rencontres-entre-recruteurs-et-candidats/,,,,,,
Le parcours d’une levée de fonds et son impact sur le business d’une start-up,500K €,19/02/2024,https://www.jaimelesstartups.fr/le-parcours-dune-levee-de-fonds-et-son-impact-sur-le-business-dune-start-up/,,,,,,
"Après avoir levé 1,6 M€ Flexliving annonce des recrutements",1 600 000,16/02/2024,https://www.jaimelesstartups.fr/news/apres-avoir-leve-16-me-flexliving-annonce-des-recrutements/,,,,,,
Antler France lance un appel à entrepreneur,$4.7B+,16/02/2024,https://www.jaimelesstartups.fr/news/antler-france-lance-un-appel-a-entrepreneur/,,,,,,
Beink Dream lève 500 K€ grâce à l’émission « Qui veut être mon associé ? »,500 000,13/02/2024,https://www.jaimelesstartups.fr/news/beink-dream-leve-500-ke-grace-a-lemission-qui-veut-etre-mon-associe/,,,,,,
"Groover lève 7,5 M€ pour sa plateforme dédiée aux artistes indépendants","7,5M€",13/02/2024,https://www.jaimelesstartups.fr/news/groover-leve-75-me-pour-sa-plateforme-dediee-aux-artistes-independants/,,,,,,
Expensya forme ses employés à l’IA,20 000 000$,12/02/2024,https://www.jaimelesstartups.fr/news/expensya-forme-ses-employes-a-lia/,,,,,,
BULLES DE RUCHE annonce une levée de fonds d’un million d’euros pour son hydromel,1 000 000 €,08/02/2024,https://www.jaimelesstartups.fr/news/bulles-de-ruche-annonce-une-levee-de-fonds-dun-million-deuros-pour-son-hydromel/,,,,,,
Qonto ouvre un bureau à Station F,622 millions €,07/02/2024,https://www.jaimelesstartups.fr/news/qonto-ouvre-un-bureau-a-station-f/,,,,,,
Starfish Bioscience annonce une levée de fonds de 900 K€,900000,06/02/2024,https://www.jaimelesstartups.fr/news/starfish-bioscience-annonce-une-levee-de-fonds-de-900-ke/,,,,,,
LIFE PLUS et sa montre connectée pour senior lève 3 millions €,3 millions €,06/02/2024,https://www.jaimelesstartups.fr/news/life-plus-et-sa-montre-connectee-pour-senior-leve-3-millions-e/,,,,,,
