startup_name,startup_amount_invested,startup_article_publication_date,startup_more_inf_url,startup_levée_de_fonds,startup_founders,startup_Number_of_employees,startup_web_site_url,startup_linkedin_url,startup_facebook_url,startup_instagram_url,startup_phone,startup_email,startup_phrasechoc
EasyMovie,5M€,27/06/2019,https://www.jaimelesstartups.fr/news/easymovie-levee-de-fonds/,Levée de fonds : 5M€,Fondateurs : Nicolas Cazeneuve,,https://www.easy.movie/fr?utm_source=JaimeLesStartups,,,,,,EASYMOVIE LÈVE 5 MILLIONS D’EUROS AUPRÈS DU FONDS RING CAPITAL
Kameleoon,5 millions,02/07/2019,https://www.jaimelesstartups.fr/news/kameleoon-levee-de-fonds/,Levée de fonds : 5 millions,Fondateurs : Jean-Noël Rivasseau,Nombre d'employés : 130,http://https//www.kameleoon.com/fr/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/2208775/admin/,https://www.facebook.com/kameleoonrocks,,,,KAMELEOON LÈVE 5 MILLIONS D’EUROS POUR RENFORCER SON LEADERSHIP EN EUROPE EN MATIÈRE DE PERSONNALISATION IA
BSIT,3 millions d'euros,30/07/2019,https://www.jaimelesstartups.fr/news/bsit/,Levée de fonds : 3 millions d'euros,"Fondateurs : Dimitri De Boose, Co-fondateur & CEO de Bsit",,https://bsit.com/fr-FR/parent?utm_source=JaimeLesStartups,,https://www.facebook.com/bsit.appli/,,,,"BSIT, L’APPLI DE BABYSITTING, LÈVE 3 MILLIONS D’EUROS ET ACCÉLÈRE SON DÉVELOPPEMENT EN FRANCE"
Yescapa,550 000 €,10/07/2019,https://www.jaimelesstartups.fr/yescapa-location-camping-car-entre-particuliers/,Levée de fonds : 550 000 €,"Fondateurs : Benoît Panel, Adrien Pinson",Nombre d'employés : 38,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Yescapa,https://www.linkedin.com/company/yescapa/,https://www.facebook.com/Yescapa/,,,,LA STARTUP YESCAPA EST UNE PLATEFORME DE LOCATION DE CAMPINGCAR ENTRE PARTICULIER. YESCAPA EST LE DRIVY DU CAMPING-CAR.
TRESORIO,480 000 €,29/07/2019,https://www.jaimelesstartups.fr/news/tresorio/,Levée de fonds : 480 000 €,"Fondateurs : Loïc Gorka, Guillaume Hoff, Jonathan Klein, Thibault Studle",Nombre d'employés : 6,https://tresorio.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/tresoriocloud/,https://www.facebook.com/TresorioCloud/,,,,TRESORIO LÈVE 480 000 EUROS POUR ACCÉLÉRER LE DÉVELOPPEMENT DE SON SERVICE CLOUD FRANÇAIS ET RESPONSABLE
JeStockeMonBateau,200 000,02/09/2019,https://www.jaimelesstartups.fr/jestockemonbateau-plateforme-stockage-bateau-entre-particuliers/,Levée de fonds : 200 000,Fondateurs : Brice Guintrand & Marine Bagnaud,,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=JeStockeMonBateau,https://www.linkedin.com/company/jestockemonbateau/?originalSubdomain=fr,https://www.facebook.com/jestockemonbateau/,,,,LA STARTUP JESTOCKEMONBATEAU EST UNE PLACE DE MARCHÉ METTANT EN RELATION LES PROPRIÉTAIRES DE BATEAU AVEC DES PARTICULIERS POUVANT HÉBERGER DES BATEAUX.
SumUp,330 millions €,16/07/2019,https://www.jaimelesstartups.fr/news/sumup-levee-de-fonds/,Levée de fonds : 330 millions €,Fondateurs : Daniel Klein,,https://sumup.fr/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/sumup/,https://www.facebook.com/sumup.fr/,,,,SUMUP LÈVE 330 MILLIONS D’EUROS POUR ACCÉLÉRER SA CROISSANCE
FirmFunding,1M€,05/07/2019,https://www.jaimelesstartups.fr/news/firmfunding-levee-de-fonds/,Levée de fonds : 1M€,Fondateurs : Florence Vasilescu,Nombre d'employés : 6,https://www.firmfunding.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/firmfunding/,,,,,FIRMFUNDING RENFORCE SON CAPITAL AVEC L'ARRIVÉE DE NOUVEAUX ACTIONNAIRES
Innovorder,10 millions d'euro,05/07/2019,https://www.jaimelesstartups.fr/news/innovorder/,Levée de fonds : 10 millions d'euro,"Fondateurs : Jérôme Varnier, Romain Melloul et Olivier Loverde",,http://www.innovorder.fr/?utm_source=JaimeLesStartups,,,,,,INNOVORDER LÈVE 10 M€ POUR TRANSFORMER LA RESTAURATION ET ACCÉLÉRER LE DÉPLOIEMENT DE SA SOLUTION EN EUROPE
Liebr,En cours,19/08/2019,https://www.jaimelesstartups.fr/liebr-marketplace-garagistes-deux-roues/,Levée de fonds : En cours,"Fondateurs : Matthieu Rouxel, Léo Monnet et Antonin Siguier",Nombre d'employés : 4,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=Liebr,https://www.linkedin.com/company/liebr,https://www.facebook.com/Liebr.io/,,,,"LIEBR, LA START-UP QUI RÉCONCILIE LES USAGERS DEUX-ROUES ET LES MÉCANICIENS !"
Joyeuse,650 000 €,17/07/2019,https://www.jaimelesstartups.fr/news/joyeuse-jouet-interactif/,Levée de fonds : 650 000 €,Fondateurs : Mathieu Roumens,,https://www.joyeuse.io/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/joyeuse-iot/,https://www.facebook.com/conteuse.merveilleuse/,,,,"LA CONTEUSE MERVEILLEUSE, UN COMPAGNON DE RENTRÉE EN MATERNELLE"
Merito,1 million d'euros,08/07/2019,https://www.jaimelesstartups.fr/news/merito/,Levée de fonds : 1 million d'euros,"Fondateurs : Marion Oliveira, Pierre Maury et Edouard Baudry",,https://share.merito.fr/?utm_source=JaimeLesStartups,,,,,,MERITO REÇOIT LE PRIX « COUP DE CŒUR » DU JURY LORS DES TROPHÉES LSA RETAIL TECH
ecov,15 Millions d'euros,18/09/2019,https://www.jaimelesstartups.fr/news/ecov-plan-de-developpement-de-plus-de-15-millions-deuros/,Levée de fonds : 15 Millions d'euros,Fondateurs : Thomas Matagne et Arnaud Bouffard,Nombre d'employés : 35,https://www.ecov.fr/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/ecov_fr/,https://www.facebook.com/ecovfrance/,,,,ECOV ANNONCE UN PLAN DE DÉVELOPPEMENT DE PLUS DE 15 MILLIONS D’EUROS POUR LES 2 ANS À VENIR
évolt,350 000,04/09/2019,https://www.jaimelesstartups.fr/evolt-saas-outil-pour-le-design-thinking/,Levée de fonds : 350 000,Fondateurs : Jonathan Scanzi,Nombre d'employés : 4,https://www.jaimelesstartups.fr/verslinfinietlaudela/?url=%C3%A9volt,https://www.linkedin.com/company/evolt/?viewAsMember=true,https://www.facebook.com/evoltdesignchangers/,,,,LA STARTUP ÉVOLT A CRÉÉ UN OUTIL EN LIGNE POUR UTILISER LA MÉTHODOLOGIE ‘DESIGN THINKING’ DANS VOS PROJETS.
Deskeo,400000000,16/09/2019,https://www.jaimelesstartups.fr/news/deskeo-immobilier-pour-les-startups/,Levée de fonds : 400000000,"Fondateurs : Benjamin Teboul, Frank Zorn",Nombre d'employés : 55,http://www.deskeo.fr/?utm_source=JaimeLesStartups,,,,,,DESKEO DÉMOCRATISE AVEC SUCCÈS LE “TURNKEY OFFICE” EN FRANCE
Smart-Services,1000000,06/09/2019,https://www.jaimelesstartups.fr/news/smart-services-levee-de-fonds/,Levée de fonds : 1000000,Fondateurs : Mamoun IDRISSI / Stephen MORELLO / Kevin EGGERMONT,Nombre d'employés : 11,https://www.smart-services.com/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/11102252/,https://www.facebook.com/ContactSmartServices/,,,,SMART-SERVICES LÈVE 1 MILLION D’EUROS AVEC INTER INVEST CAPITAL
Upflow,2.5 Millions d'€,05/09/2019,https://www.jaimelesstartups.fr/news/upflow-levee-de-fonds/,Levée de fonds : 2.5 Millions d'€,"Fondateurs : Alexandre Louisy, Barnaby Malet",Nombre d'employés : 19,https://www.upflow.io/fr/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/upflowhq/,https://www.facebook.com/upflowHQ/,,,,"UPFLOW LÈVE 2,5M€ EN SEED POUR ACCOMPAGNER LES ENTREPRISES À EN FINIR AVEC LES IMPAYÉS"
Switch Up,300 000 €,10/09/2019,https://www.jaimelesstartups.fr/news/switch-up-levee-de-fonds/,Levée de fonds : 300 000 €,Fondateurs : Gabrielle Rodier,Nombre d'employés : 5,https://www.switch-up.fr/?utm_source=JaimeLesStartups,https://fr.linkedin.com/company/switch%27up,https://fr-fr.facebook.com/switchup.fr/,,,,UNE LEVÉE DE FOND DE 300 000 EUROS POUR RENDRE LA FRANCE PLUS ACCUEILLANTE !
Spendesk,35M€,10/09/2019,https://www.jaimelesstartups.fr/news/spendesk-levee-de-fonds/,Levée de fonds : 35M€,"Fondateurs : Rodolphe Ardant, Jordane Guily et Guilhem Bellion",Nombre d'employés : 120,https://www.spendesk.com/fr/?utm_source=JaimeLesStartups,https://www.linkedin.com/company/spendesk/,https://www.facebook.com/spendesk/,,,,SPENDESK LÈVE 35M€ POUR SIMPLIFIER LA GESTION DES DÉPENSES D’ENTREPRISE À TRAVERS LE MONDE
